title;rating;duration;startTime
Trelew;8.0;98;717
Golem;4.7;104;201
Balla che ti passa;7.7;92;1064
Arn: The Knight Templar;6.6;139;412
Tell Me No Lies;2.9;91;23
Manual;6.9;80;1039
Day of Defense;5.7;102;937
Taekwondo;7.4;102;331
Hercules Ventures Into the World;8.0;50;313
Through the Footsteps of a Madman;5.6;77;211
Mongolpiparen;3.2;88;625
Cold Feet;5.3;78;813
Life, Translated;3.7;100;58
Gangster;5.7;90;1015
Black Cat in Jail;4.0;88;551
Black;6.4;130;425
Hannah and Her Brothers;5.5;77;1286
Friendship Hotel;7.4;95;1294
Dreams for Life;8.1;75;749
Snakewoman;3.1;98;671
Fare la vita;6.1;100;42
Plaguers;2.7;86;1052
The Mercy Man;7.2;91;1046
A Winter in Paris;5.7;95;861
Nada sÃ´ sÃ´;6.7;118;870
Silly's Sweet Summer;6.8;90;737
The Lark Farm;6.6;122;931
Sam tiu;3.3;90;312
The Legend of 7 Cutter;6.2;100;331
Gone;5.4;88;679
Sound of the Sea;6.0;95;883
Angel-A;7.1;91;1103
Great Idea;5.0;90;153
16-dec;6.9;158;341
A Good Band Is Easy to Kill;8.7;89;1231
Angels of the Universe;7.5;100;233
Heavy Petting;4.5;94;668
Adieu;7.1;124;1102
Daylight Robbery;6.0;99;871
The Passage;8.2;108;191
Vampire Junction;2.6;94;1088
Two Angels;6.0;80;342
Mensch Mutter;6.9;90;21
Preserve Me a Seat;9.2;104;192
Stolen Summer;6.5;91;179
Savage Souls;6.9;120;933
Eye in the Sky;6.7;90;94
Big Bad Wolf;5.3;95;22
Just Sex;7.2;73;1259
Villain;7.1;162;658
Blackout Journey;4.6;90;327
Impy's Island;5.0;87;448
Hot Fuzz;7.8;121;1283
Hubert Selby Jr: It/ll Be Better Tomorrow;7.4;79;1041
You Shoot, I Shoot;7.4;94;1175
Australia;6.6;165;871
Tito;7.1;120;221
A Sunday in Kigali;7.2;118;794
Bloodshed;3.2;82;935
Huddersfield;8.3;95;265
The Hitcher;5.6;84;541
Shallow Ground;4.9;97;343
Be - Skitne, syndige meg;6.5;50;1196
Ken Park;5.9;93;765
Night Watch;6.4;114;116
Complexx;3.7;78;1088
P.S. Your Cat Is Dead!;5.4;92;701
Ten;7.4;89;1300
Os Imortais;7.3;130;253
Martha's New Coat;6.8;52;1377
Mask de 41;6.1;113;892
Frog-g-g!;4.3;80;789
Summer Nuts;7.2;90;181
The Robbery of the Third Reich;6.5;105;823
Jungle Rudy;6.4;90;538
The Keeper: The Legend of Omar Khayyam;6.4;95;1103
Retiring Tatiana;7.3;108;30
Powiedz to, Gabi;5.7;82;793
Dans tes rÃªves;4.3;102;312
O Brother, Where Art Thou?;7.7;107;869
Larceny;4.4;101;301
The Football Factory;6.8;91;609
Identity Kills;5.0;81;1071
Layover;4.7;95;1060
Divide;2.6;60;1261
Twisted;5.8;93;794
Elipsis;6.4;90;1268
Undead;5.4;104;1050
Saseul;5.1;93;551
Dr. Bronner's Magic Soapbox;6.5;88;175
Vox Populi;6.7;100;895
Residencia;5.5;92;1324
Ooops, teka lang... Diskarte ko 'to!;8.5;110;83
Everything Together;4.9;65;1100
UFO Doggies;7.0;55;87
Dog Soldiers;6.8;105;280
All the Days Before Tomorrow;6.1;100;71
Reaction;8.1;77;185
Little Big Top;6.2;83;548
Nailed;4.1;90;354
Iberia;7.0;99;723
Bubbles;8.6;80;973
Late un corazÃ³n;4.6;72;683
Roadblocks;7.3;101;725
Pas assez de volume! - Notes sur l'OMC;8.2;140;1096
2009: Lost Memories;6.1;136;11
Otra vuelta;7.3;80;1081
Aftermath;4.9;83;586
Neowolf;2.1;88;894
Season of the Horse;7.3;105;136
Lagerfeld Confidential;6.7;89;1017
Weenie Roast Massacre;4.7;87;428
Das siebte Foto;6.6;95;1115
Indian Fish in American Waters;5.4;94;783
A Handful of Grass;6.5;100;486
A Perfect Match;6.4;107;1107
The Debut;6.5;94;912
Wesley Cash;7.3;73;1151
Life Hits;6.3;93;247
Maybe Baby;5.7;104;1311
Damen tango;6.2;95;918
Love Rome;5.5;80;1184
Leyla Zana, le cri au-delÃ  de la voix Ã©touffÃ©e;4.3;51;956
Scream 3;5.6;116;649
Screen Tests of the Stars;9.1;60;603
Surviving the Rush;5.1;80;1350
Palabras encadenadas;7.1;89;493
Joyful Partaking;7.2;120;1067
The Incredible Burt Wonderstone;5.9;100;773
The Real Cancun;2.8;96;818
The Book of Caleb;6.9;106;947
The Tree That Remembers;8.5;50;1324
Possession;5.5;90;106
The Marc Pease Experience;4.0;84;1027
Oollala Sisters;4.8;110;346
The Windy City Incident;2.4;71;1323
O;6.1;95;1272
Standalone;7.2;108;955
Muxes: AutÃ©nticas, intrÃ©pidas y buscadoras de peligro;7.5;105;126
Bolivar Is Me;6.3;93;488
State of Denial;8.2;86;457
Tell Me Do You Miss Me;7.9;102;111
My Captain Mr. Underground;6.0;104;508
The Delicate Art of Parking;6.4;90;888
Home;7.9;85;906
Ameriga;7.0;55;315
Wreckage;4.2;87;458
Naam Gum Jaayega;5.9;125;1012
Kings;6.9;88;44
The Ghouls;3.8;81;1180
For Your Consideration;6.3;86;153
Gambit;8.0;107;270
Shootout;5.9;90;366
Tomorrow La Scala!;6.8;108;327
Princess in an Iron Helmet;6.3;103;591
Equilibrium;7.4;107;894
Operation Balikatan;3.5;88;381
Escalator Down;6.5;70;1361
Fated;6.2;90;1346
Polynesian Power;8.2;60;1253
Wieners;4.3;89;680
Lightning Bug;6.5;97;120
Sacred Heart;6.4;120;1093
Taxi to the Dark Side;7.4;106;964
Verschwinden;6.7;75;771
For the Bible Tells Me So;7.8;95;1068
Someone Like You;6.1;97;1113
Blues Divas;7.2;116;914
Time Changer;5.2;95;561
To Paint or Make Love;6.1;100;1191
Deanimated;7.5;60;582
Gray Matters;5.8;96;622
The Princess and the Frog;7.1;97;166
Mr. Woodcock;5.1;87;1249
Andre omgang;5.0;84;1276
RinaldÃ³;5.1;83;987
Sucker Punch;5.0;92;460
Neverland;4.9;83;763
Borrowed Time;4.8;62;771
Do Outro Lado do Mundo;6.3;90;581
Lunar Girl;7.0;85;1097
A Woman and a Half: Hildegard Knef;8.1;90;288
Troublesome Night 17;4.3;90;421
She Got Game;7.5;78;356
Hitters Anonymous;6.8;92;468
Deeper Than Y;8.5;60;11
The Moon Also Rises;7.0;105;1330
A West Lake Moment;5.8;112;828
Pornodrome: Una storia dal vivo;6.5;86;232
The Stepford Wives;5.3;93;28
No Good Deed;5.5;97;26
Dry Wood Fierce Fire;5.8;97;283
Shadow Magic;6.8;116;405
Big Time;7.2;92;1068
Waiting for the Giants;5.1;88;104
The Boys & Girl from County Clare;6.5;90;941
Ma saison super 8;5.2;74;280
The Very Poor, Inc.;4.9;90;471
On the Edge: The Femicide in Ciudad Juarez;6.8;58;607
Trixie;5.1;116;1061
Der Traum vom Schweben;8.0;90;352
Who Killed Cock Robin?;5.2;88;265
Fernanda Pivano: A Farewell to Beat;6.8;70;131
Home Invaders;5.6;100;51
Kaun Hai Jo Sapno Mein Aaya;5.1;127;443
Mokus;5.3;110;756
Deceitfully Funny;7.4;85;644
The Sleeping Wife;6.9;83;144
Shakespeare's Merchant;4.4;86;1110
Intervention;4.8;93;369
Aquarium;5.1;67;1163
Bewafaa;4.3;151;791
The PianoTuner of EarthQuakes;6.3;99;1064
West Coast;8.4;90;844
Days;6.0;83;493
How Silly We Are to Grow Up;4.9;90;1158
Vampire Blvd.;6.8;90;604
VÃ¤gen tillbaka - BlÃ¥dÃ¥rar 2;6.9;78;193
Tournament of Dreams;3.7;88;178
Miami Vice;6.0;132;140
L'auberge espagnole;7.3;122;1121
Fate come noi;6.9;92;397
The Avengers;8.0;143;641
From My Window, Without a Home...;3.9;88;740
The Story of the Weeping Camel;7.5;93;1295
Harm's Way;5.2;82;1060
FÃ¡bio Fabuloso;7.4;63;341
Risen;5.2;121;966
Neranja Manasu;2.9;150;777
Flightplan;6.3;98;551
The Mummy: Tomb of the Dragon Emperor;5.2;112;361
The Mystery of Sintra;6.9;98;62
On fait comme on a dit;5.1;80;158
Mothers and Daughters;5.4;90;260
Pinocchio 3000;3.9;80;414
Love + Hate;6.9;86;896
Boardwalk Poets;5.7;89;797
Symphony of Silence;5.4;110;671
Bling Bling;5.0;62;810
Outlander;6.2;115;880
Evil Breed: The Legend of Samhain;3.2;78;236
True Rights;7.7;101;383
Black Days;6.0;80;725
Tagore;7.8;175;134
Strut!;7.4;68;1352
Crazy First Love;5.7;108;48
Brother Outsider: The Life of Bayard Rustin;7.7;83;616
Un dÃ­a en el paraÃ­so;5.6;98;744
People I Know;5.5;100;861
The Hills Have Eyes 2;5.1;89;396
Kahin Pyaar Na Ho Jaaye;4.3;159;1225
Chrysalis;5.4;94;188
Hyenas;2.7;92;266
Keepin' It Real;3.7;90;919
Toukou no ki;5.7;121;179
Alguien en la terraza;8.8;75;1141
Goodbye Charlie Bright;6.3;87;874
The Five of Us;7.0;87;469
Monica's Gang in an Adventure in Time;6.7;81;605
Growing Down in Brooklyn;6.1;120;1158
The Definition of Insanity;7.6;85;917
Marathon;6.3;74;19
The Transporter;6.8;92;1221
Happy;7.0;152;987
Motoboys: Vida loca;7.6;53;1135
Leningrad;6.1;110;746
Straight Outta Hunters Point;7.7;75;1105
Una de zombis;4.5;99;653
One Piece: The Movie;6.7;51;291
Dance Machine;4.2;109;1109
Ã€ Tout de Suite;6.5;95;941
Humko Tumse Pyaar Hai;4.8;128;991
The Night Is Bright;7.0;98;807
Delta Farce;3.6;90;810
Hari ng selda: Anak ni Baby Ama 2;8.1;120;833
Dark Days;7.8;82;1207
Right at Your Door;6.1;96;1085
I Don't Want to Sleep Alone;7.0;115;784
Pleasant Moments;5.8;113;819
The Blossoming of Maximo Oliveros;7.0;100;1259
Jimmy Neutron: Boy Genius;6.0;82;1084
They Call This... Spring;6.1;107;1174
The Gentle Age;7.2;130;1287
Once Upon a Time in the Hood;4.8;94;82
Martian Child;6.8;106;1081
Aimee Semple McPherson;4.8;110;218
Loving Glances;6.1;97;1221
Spin Cycle;7.0;88;983
Lurking in Suburbia;5.9;87;17
Castle Eros;5.0;92;684
Swimming;6.3;98;626
Rare Birds;6.4;99;179
Talk To Her;7.9;112;350
The Executed;8.5;57;1174
Chaos;7.0;109;597
Crackerjack;6.8;92;825
Requiem of Snow;6.8;90;1184
Les deux mondes;5.6;105;423
Camp: The Movie;6.0;70;458
Trench Road;6.2;111;786
Omen;4.5;80;1258
Killing the Dream;8.1;83;402
FC Venus;5.8;100;1237
The Proposal;5.4;91;1229
Portrait of a Married Couple;7.1;92;910
Cl.One;3.3;112;1117
Close, Closed, Closure;6.6;53;1156
Out of the Closet, Off the Screen: The Life of William Haines;7.0;45;406
Please Give;6.6;87;897
Scary Movie V;3.5;88;1193
Schroeder's Wonderful World;5.2;114;505
Eldra;7.8;80;325
The Brutal River;4.4;87;177
The Happy Housewife;6.7;100;581
The Thirst: Blood War;2.6;96;663
The Far Side of Jericho;4.4;99;720
Blonde et brune;5.3;59;1292
Villa des roses;6.0;118;1234
The Fifth Empire;6.3;127;1034
Trackman;4.1;80;1250
Mudori;5.8;100;1017
Prince Vladimir;6.9;78;172
Buhay kamao;6.8;117;768
Girlfriend;3.1;126;207
15;5.7;95;1265
As White as in Snow;6.0;154;321
Father's Affair;6.6;100;1231
Duplicate Sholay;6.5;147;360
I Need to Lose Ten Pounds;6.7;92;1341
The Power of Few;5.2;96;1045
The Darkroom;5.6;83;229
Drive;7.2;102;3
Barra 68 - Sem Perder a Ternura;7.1;80;843
Lalon;8.2;120;841
Life and Migraine;7.0;55;707
Woman Is... a Tough Person;4.8;100;232
The Life and Hard Times of Guy Terrifico;6.7;86;1075
To Catch a Virgin Ghost;6.5;109;410
Neil Young: Heart of Gold;7.7;103;1191
Kuxa Kanema - O Nascimento do Cinema;6.3;52;653
Egoshooter;4.7;72;1174
Yanda Kartavya Aahe;6.5;147;1174
Black Gold;7.2;78;1117
Land of Fear;8.1;142;193
The Great Dance: A Hunter's Story;7.6;90;173
Mole;4.5;81;135
Kat;3.5;85;941
Y.M.I.;3.3;80;1280
Graduating Peter;7.6;75;110
Tom White;6.5;106;208
JÃ´hatsu tabinikki;5.8;85;941
The Game of Their Lives;7.7;80;1304
The Last Quest;4.5;92;44
Anchorman: The Legend of Ron Burgundy;7.2;94;70
Irangeles;6.3;80;1031
BrasÃ­lia 18%;4.8;102;464
A Movie of Eggs;6.4;90;1151
Megy a gÃ¶zÃ¶s;3.6;90;515
KatieBird *Certifiable Crazy Person;4.3;100;406
El vecino;6.3;93;1310
Bibo per sempre;5.0;95;560
Arindhum Ariyamalum;7.2;132;139
The Flying Aarons;6.5;51;197
Trois;4.1;93;150
Phulkumar;8.6;58;99
Fool's Gold;5.7;112;683
Frost/Nixon;7.7;122;834
Lee Dae-ro Can't Die;6.3;106;1060
A Friend of Mine;6.9;84;420
Surrender;3.4;73;1315
You and Me Against the World;6.3;110;718
Killing Bee;3.5;85;480
Inga tÃ¥rar;4.8;85;1173
Duty Dating;5.2;94;587
Fifi Martingale;5.7;127;867
No Time to Die;7.6;95;422
Love;6.0;104;83
The Clay Bird;8.6;95;196
Farm Family: In Search of Gay Life in Rural America;6.9;73;1344
It Is What It Is;6.3;112;682
Look at Me;6.8;110;479
The Burning Wall;7.5;115;1273
S21: The Khmer Rouge Killing Machine;7.3;101;1067
Denk ich an Deutschland - Wir haben vergessen zurÃ¼ckzukehren;7.0;60;1208
Dog Me: Potluck;6.5;110;1114
Sugar Orange;5.8;86;132
Falling Sky;6.7;83;780
Down to Earth;5.5;87;1088
I Am Dina;6.6;125;522
Treasure Island Kids: The Monster of Treasure Island;4.2;86;259
Orientations: Chris Doyle - Stirred But Not Shaken;6.6;52;1245
Kidnapped Home;7.2;103;880
Porto of My Childhood;7.1;61;408
Night of the Snakehead Fish;4.7;54;1273
Sweet Home Alabama;6.2;108;165
A travÃ©s de tus ojos;6.9;104;295
Combat Sixteen;6.2;96;883
Private Fears in Public Places;6.9;120;1133
Atrophy;6.6;45;849
Achuvinte Amma;6.9;130;247
Hack!;4.1;89;1193
Closing Escrow;5.4;93;822
The Cook;4.0;85;1251
Mais im Bundeshuus: le gÃ©nie helvÃ©tique;7.2;90;1304
Art Heist;4.4;98;1034
Timbuktu;6.8;94;896
Novela Novela;6.1;60;1328
Estrellas de La LÃ­nea;7.7;95;302
Suits on the Loose;5.3;94;305
Mila from Mars;6.9;91;1192
Perspecplejia;7.2;70;968
Touched by a Killer;5.4;87;13
Snake Island;3.3;90;1168
Zebraman;6.5;115;905
Old, New, Borrowed and Blue;5.9;90;193
Gettysburg and Stories of Valor: Civil War Minutes III;8.5;180;912
Divorce: The Musical;5.7;86;304
Trip;7.8;101;90
Adam and Eve;4.5;91;87
Shankar Dada MBBS;7.4;174;70
Love Disease;3.2;108;1236
The Woman Who Missed Home;5.9;82;1216
Gabriela;5.0;93;324
A Regular Frankie Fan;8.1;72;602
The Evil;6.0;85;599
Panic Bodies;7.3;70;586
Memories of Rain;8.6;185;1133
Dutch Touch;7.2;75;1307
The Royal Academy;8.8;60;1149
Del roig al blau;8.1;97;1040
When the Sky Falls;6.3;107;1162
Oseam;6.9;75;572
Ramses;7.6;70;137
Filhas do Vento;6.3;85;589
Pretty Things;5.8;105;1148
Fast Souls;5.9;90;594
Blood Predator;2.2;91;893
Offshore;6.6;92;494
All the King's Men;6.2;128;497
SmÃ¥deckarna;2.7;81;347
Kabhi Alvida Naa Kehna;6.1;193;924
Darna Zaroori Hai;5.4;108;337
In My Country;6.0;105;1137
Between the Devil and the Wide Blue Sea;6.6;89;371
Oljeberget;4.9;111;107
Fossil;7.1;87;179
Otto - Der Katastrofenfilm;4.3;92;1241
Cold Trail;6.1;99;39
The Thing About My Folks;6.5;96;1199
The Loss of a Teardrop Diamond;5.8;102;580
Final Contract: Death on Delivery;5.2;97;277
Protocols of Zion;6.3;95;147
Honest;4.0;110;304
Monday;7.4;100;238
Sieh zu dass du Land gewinnst;6.6;85;229
Amar te duele;6.5;104;611
The Collector;6.4;90;297
Ranchero;5.4;95;203
Songcatcher;7.2;109;432
American Cannibal;4.9;87;890
Twilight: Los Angeles;7.7;76;63
Lagot ka sa kuya ko;8.0;107;1196
La Isla Bonita;4.1;90;302
The Settlers;5.8;58;810
If Only;7.1;92;14
Cabaret Paradis;4.8;98;1327
Miss Du Shi Niang;5.0;86;751
Love Story 2050;2.6;180;1242
Last Seen at Angkor;4.2;80;526
The Boss;3.8;105;778
Hrein og bein;7.3;56;107
Armenia;6.6;125;757
Election 2;7.4;93;630
The Game Plan;6.1;110;511
Moonlight Mile;6.6;117;769
Esses MoÃ§os;5.4;80;26
Vinci;6.9;108;473
Being Cyrus;7.2;90;911
Askar fi el-mu'askar;5.2;100;653
A History of Sex;4.9;60;1291
She;3.7;94;400
Mr. Bones;4.8;110;1217
I Will Always Love You;5.5;117;529
My African Family;6.4;80;345
Skinhead Attitude;7.3;90;703
Planet B-Boy;7.7;95;933
Woman of Breakwater;7.5;124;973
Tout pour plaire;6.0;105;343
The Last Supper;5.9;96;109
Du & jag;5.0;88;539
Out of Faith;8.4;82;1294
Kung Fu Master;6.5;200;1067
Planet der Kannibalen;5.3;91;629
Militia;3.5;89;537
Wu qiong dong;5.7;90;261
Venus and Mars;6.3;94;931
Hail, Caesar!;6.3;106;961
The Smith Family;7.7;80;864
Voodoo Lagoon;3.0;79;1228
Alone Versus Myself;6.8;98;1144
Solitaire;7.1;90;1104
Hopeless;6.1;80;272
Made of Honor;5.9;101;1311
Fugitive Hunter;3.6;88;838
Negocios son negocios;4.8;94;1069
The Day My God Died;7.8;70;1258
Just Add Pepper;6.7;90;441
Views of the Inner Chamber;7.1;118;947
Klunkerz;8.0;83;576
Won't Anybody Listen;8.6;73;963
Septem;5.6;95;675
50 Things to Do Before I Die;8.3;52;836
Bob Steel;7.2;92;1181
No Child Left Behind;8.6;56;970
Aratte-spazanm, tservery, erkir;3.6;52;522
Dance of the Wind;9.0;80;771
L'extraterrestre;3.3;93;407
Red Is the Color of;4.8;87;1099
Moonlight Jellyfish;7.2;113;481
500 Years Later;6.8;106;1204
Seinto Seiya: Tenkai-hen joso - Overture;7.0;84;754
Everyday People;6.4;91;1041
The Music Inside;7.4;90;1298
The Sword of Alexander;5.8;110;1060
Barrage;6.0;93;603
Garden of Love;4.6;86;425
The Pervert's Guide to Cinema;7.8;150;1238
Turn Left at the End of the World;7.0;110;523
Something's Gotta Give;6.7;128;1114
RÃ­o arriba;6.4;72;146
Crossroads;3.5;93;755
Laughing Matters... More!;3.4;72;705
The Burnt Theatre;6.9;82;964
Garden of Heaven;5.7;95;776
Gala;7.4;105;61
Jurassic World;7.0;124;89
Middletown;5.9;88;1082
Shut Up and Shoot!;3.3;86;1185
I'll Be There;6.4;105;1098
War Photographer;8.0;96;627
The Sleepy Time Gal;5.9;108;398
C'est la vie;6.7;113;1194
The Rules of the Game;6.3;103;1003
Rock Bottom: Gay Men & Meth;7.0;61;1313
Children of the Setting Suns;6.5;58;1045
Revolution Summer;5.4;90;1019
Kazuo Umezu's Horror Theater: Death Make;4.0;49;734
Paternal Instinct;7.2;75;464
Prisoner Queen-Mindless Music & Mirrorballs;8.3;86;808
God Is on Air;4.5;91;1240
Sandakozhi;6.9;151;728
El astillero;5.6;88;721
Metallica: Some Kind of Monster;7.5;141;1274
Landscape of My Heart;3.9;63;1177
Just Another Day in the Homeland;7.6;78;1286
A Sound of Thunder;4.3;110;670
Musisz zyc;6.0;90;1019
NingÃºn lugar en ninguna parte;7.0;70;1123
Paintball the Movie: Court Jesters;6.7;90;470
Beneath the Cogon;6.1;83;263
Shanghai Noon;6.6;110;799
The Austrian Method;2.0;93;746
The Barber;5.7;94;912
With Closed Eyes;6.7;80;430
Cowboys & Aliens;6.0;119;180
Peas at 5:30;7.0;111;1179
Infinite Justice;5.0;93;419
Monster;7.3;109;83
Paisa Vasool;4.0;139;371
Jack of Diamonds;4.6;84;1033
Snipes;5.6;113;915
Mr. Smithereen Goes to Washington;7.9;94;1026
Pancho Villa: La revoluciÃ³n no ha terminado;7.2;90;139
The Wedding Date;6.2;90;574
Listy milosne;4.5;105;435
Franco Bagongo;8.1;85;550
Gawin sa dilim 2;1.5;120;552
Bonne nouvelle;6.4;61;523
Hell;5.0;100;1308
The District;6.0;87;1219
Shoot 'Em Up;6.7;86;559
Noi the Albino;7.3;93;54
Annapolis;5.9;108;641
The Greatest Thing;5.8;114;678
Art of the Devil 2;5.9;100;692
Joe Dirt;6.0;91;1272
Io no;5.8;96;533
A+ Pollux;6.1;90;679
That One Night;6.2;120;1285
The Missing;6.2;82;593
The Blue Tower;6.1;85;920
My Voice;6.3;110;1121
Spider's Web;4.3;88;180
Xin lian;5.3;108;269
Chittagong: The Last Stopover;7.5;82;1323
Malena;7.5;108;906
Attention Shoppers;4.7;87;744
Scene Smoking: Cigarettes, Cinema & the Myth of Cool;3.9;59;412
Adil geht;7.0;96;1054
La punta del diablo;7.6;90;1123
Feel the Noise;2.9;86;1023
The Big One;6.8;60;13
Whole New Thing;6.6;92;612
Catch a Fire;6.7;101;287
Are You Ready for Love?;4.6;87;1002
A Trumpet in the Wadi;6.6;100;423
Kung Phooey!;5.3;87;401
Road Trip;6.4;93;463
Imagining Ulysses;7.8;90;265
AbrÃ­gate;5.7;90;843
And in the Morning They Woke Up;6.1;90;495
New York, I Love You;6.2;103;210
Bell'amico;7.0;84;766
A kis utazÃ¡s;7.2;100;851
Purple and Violet;6.3;115;817
Open Cam;4.6;100;401
Farda;7.7;105;631
Remarkable Power;5.6;91;1212
Neal 'n' Nikki;3.2;122;1181
University of Laughs;7.4;121;258
Grissinopoli;8.4;80;121
Hank and Mike;6.0;86;940
Garage Days;5.9;105;1082
Conan the Barbarian;5.2;113;218
Blok.pl;3.1;82;42
Boxers and Ballerinas;7.2;84;961
Aadavari Matalaku Ardhalu Verule;7.4;157;34
Maria Dolores;6.6;90;441
Cazuza: Time Doesn't Stop;6.9;98;1338
Honey for Oshun;6.3;126;1020
The Coffin;4.2;86;1086
Open My Heart;5.2;93;689
Overnight;7.1;82;344
Lapu-Lapu;6.4;125;1118
In the Valley of Elah;7.1;121;655
Cuba mia: Retrato de una orquesta de mujeres;8.0;90;943
Purple Heart;5.5;90;163
Art of Fighting;6.7;100;45
Countdown;5.3;100;922
On the Trail of Igor Rizzi;6.3;91;737
Everything Put Together;6.3;87;959
The Calling;8.0;117;65
Dark Places;3.2;77;215
Rolling;5.5;90;211
Madhumasam;6.6;139;712
VII. OlivÃ©r;6.5;110;961
Coachella;7.4;120;67
Trick or Treaters;7.0;75;1160
Ho visto le stelle;5.8;91;551
The Last Supper;5.8;92;219
Ãœber Wasser: Menschen und gelbe Kanister;7.2;120;540
Some Kind of Blue;6.5;114;183
Pipe Dream;5.9;91;591
The Days Between;6.9;118;523
The Grand Sons;6.1;84;1075
Mushi-Shi: The Movie;6.1;131;769
A fÃ©ny Ã¶svÃ©nyei;6.8;90;98
Good Luck with That;3.5;94;772
Stiffed;6.9;83;16
Confessions of a Florist;6.8;95;378
Escaflowne: The Movie;6.7;98;548
Jeepers Creepers 2;5.6;106;1099
Circus Camp;5.8;101;1196
Three of Hearts: A Postmodern Family;6.9;95;289
Zerophilia;6.1;90;686
Resilience;6.5;96;899
Prymas. Trzy lata z tysiaca;6.3;103;1095
The Jealous God;5.6;95;684
RÃªve d'usine;6.9;98;651
Alone Across Australia;8.7;52;1341
Emmanuelle in Hong Kong;4.9;95;1024
Amen.;7.2;132;685
Caramel;6.6;88;381
Miracle;7.5;135;1203
Le Afi Ua Mu: The Fire Is Burning;6.4;56;309
El-Rehla;4.7;120;1306
The Hiding Place;6.4;97;332
Burning Coal;7.3;90;675
Life of Pi;7.9;127;224
Roadkaepchen;7.0;45;1018
Home;4.6;50;338
The Spirit of Places;8.1;90;324
Just Do It!;5.6;93;950
Metro;6.4;105;1052
Kochi Rajavu;6.0;105;148
Mana: Beyond Belief;6.3;92;727
Sex and Breakfast;4.8;81;69
November 1828;7.3;140;19
Semen, a Love Sample;5.4;89;207
Mean Machine;6.5;99;1262
Drawing Out the Demons: A Film About the Artist Attila Richard Lukacs;7.1;78;96
CristÃ³bal MolÃ³n;6.5;70;1041
The Sum of All Fears;6.4;124;993
Peep 'TV' Show;5.3;98;725
No Such Thing;6.1;102;1285
Almost Salinas;6.1;92;1242
Mystic Ball;8.2;83;298
Cuban Blood;5.9;109;35
Summer in the Golden Valley;7.0;105;158
Bachke Rehna Re Baba;2.6;130;1108
Te busco;6.1;84;1337
Pretty Woman;4.7;111;452
The Replacements;6.6;118;793
Damaged Goods;3.5;120;511
The Greatest Love of All;6.5;106;775
Sahara;6.0;124;917
Hotel;5.6;76;54
The Indie Pendant;4.1;105;40
The TV Set;6.5;88;1178
Cry in the Woods;6.0;106;663
SobibÃ³r, October 14, 1943, 4 p.m.;7.4;95;52
Churning the Sea of Time: A Journey Up the Mekong to Angkor;9.2;74;876
The Runner: Extreme UltraRunner David Horton;7.0;78;994
Bottom Feeder;4.3;86;597
Fortune;6.7;80;1193
Dogg's Hamlet, Cahoot's Macbeth;8.1;83;1001
Jack Reacher;7.0;130;105
Barry Dingle;5.5;92;536
Fierce People;6.5;135;241
Hamlet A.D.D.;7.0;95;1036
Sabel;6.2;94;1219
Lady Godiva: Back in the Saddle;5.4;96;96
Orphan;7.1;99;672
New York in the 50's;5.9;72;988
The Fifteen Minute Show;8.8;87;604
Tanner;7.8;75;393
Strike;6.8;104;1158
Touching the Void;8.0;106;628
Runners;7.1;90;1113
Skegs & Skangers;7.4;70;1270
First Time Caller;3.1;81;175
Overkill;6.0;88;189
Love Actually;7.6;135;1054
Keeping Time: The Life, Music & Photography of Milt Hinton;8.1;60;994
Live Freaky Die Freaky;5.0;75;1347
Cyclomania;5.7;93;122
Imagine That;5.6;107;118
Chick Street Fighter;3.6;88;553
James Ellroy's Feast of Death;7.3;90;471
Stuck;6.4;85;420
Welcome Home, Roscoe Jenkins;5.5;104;19
S@motnosc w sieci;4.0;124;1162
